feature,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25
L25_F8662,,,,,,,,,,,,,,,,,,,,,,,,,,37.70390319824219
L24_F11139,,,,,,,,,,,,,,,,,,,,,,,,,21.550321578979492,
L23_F11903,,,,,,,,,,,,,,,,,,,,,,,,18.582792282104492,,
L25_F4493,,,,,,,,,,,,,,,,,,,,,,,,,,16.602771759033203
L25_F16271,,,,,,,,,,,,,,,,,,,,,,,,,,14.435818672180176
L24_F4621,,,,,,,,,,,,,,,,,,,,,,,,,14.183176040649414,
L22_F14916,,,,,,,,,,,,,,,,,,,,,,,11.442474365234375,,,
L22_F8535,,,,,,,,,,,,,,,,,,,,,,,11.363426208496094,,,
L25_F228,,,,,,,,,,,,,,,,,,,,,,,,,,11.280744552612305
L24_F7264,,,,,,,,,,,,,,,,,,,,,,,,,11.119394302368164,
L24_F10476,,,,,,,,,,,,,,,,,,,,,,,,,9.842716217041016,
L24_F10032,,,,,,,,,,,,,,,,,,,,,,,,,9.602807998657227,
