feature,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25
L25_F11011,,,,,,,,,,,,,,,,,,,,,,,,,,12.960077285766602
L24_F4652,,,,,,,,,,,,,,,,,,,,,,,,,10.665539741516113,
L25_F4493,,,,,,,,,,,,,,,,,,,,,,,,,,8.955728530883789
L25_F14325,,,,,,,,,,,,,,,,,,,,,,,,,,7.953865051269531
L23_F11903,,,,,,,,,,,,,,,,,,,,,,,,7.940500259399414,,
L25_F14402,,,,,,,,,,,,,,,,,,,,,,,,,,7.643135070800781
L24_F10476,,,,,,,,,,,,,,,,,,,,,,,,,7.213922500610352,
L23_F4438,,,,,,,,,,,,,,,,,,,,,,,,7.157042980194092,,
L22_F14916,,,,,,,,,,,,,,,,,,,,,,,6.945316314697266,,,
L24_F6408,,,,,,,,,,,,,,,,,,,,,,,,,6.8360595703125,
L22_F5893,,,,,,,,,,,,,,,,,,,,,,,6.624624729156494,,,
L21_F4438,,,,,,,,,,,,,,,,,,,,,,6.531136989593506,,,,
