feature,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25
L24_F1306,,,,,,,,,,,,,,,,,,,,,,,,,19.72010612487793,
L25_F13068,,,,,,,,,,,,,,,,,,,,,,,,,,19.676002502441406
L23_F5285,,,,,,,,,,,,,,,,,,,,,,,,15.83405590057373,,
L23_F5256,,,,,,,,,,,,,,,,,,,,,,,,15.43931770324707,,
L24_F16066,,,,,,,,,,,,,,,,,,,,,,,,,15.018176078796387,
L25_F3943,,,,,,,,,,,,,,,,,,,,,,,,,,14.707052230834961
L22_F12943,,,,,,,,,,,,,,,,,,,,,,,12.19533920288086,,,
L25_F15442,,,,,,,,,,,,,,,,,,,,,,,,,,11.808207511901855
L21_F1197,,,,,,,,,,,,,,,,,,,,,,9.903526306152344,,,,
L23_F12300,,,,,,,,,,,,,,,,,,,,,,,,8.912630081176758,,
L22_F14802,,,,,,,,,,,,,,,,,,,,,,,8.889083862304688,,,
L20_F4305,,,,,,,,,,,,,,,,,,,,,8.856022834777832,,,,,
