feature,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L15,L16,L17,L18,L19,L20,L21,L22,L23,L24,L25
L25_F66,,,,,,,,,,,,,,,,,,,,,,,,,,17.46426010131836
L23_F10969,,,,,,,,,,,,,,,,,,,,,,,,13.846455574035645,,
L22_F10572,,,,,,,,,,,,,,,,,,,,,,,12.465041160583496,,,
L24_F10374,,,,,,,,,,,,,,,,,,,,,,,,,11.468979835510254,
L19_F6134,,,,,,,,,,,,,,,,,,,,9.148740768432617,,,,,,
L21_F4801,,,,,,,,,,,,,,,,,,,,,,8.979793548583984,,,,
L23_F3432,,,,,,,,,,,,,,,,,,,,,,,,8.64975357055664,,
L24_F3720,,,,,,,,,,,,,,,,,,,,,,,,,8.480545043945312,
L25_F9564,,,,,,,,,,,,,,,,,,,,,,,,,,8.417736053466797
L22_F3281,,,,,,,,,,,,,,,,,,,,,,,8.334171295166016,,,
L20_F15539,,,,,,,,,,,,,,,,,,,,,8.160390853881836,,,,,
L18_F11186,,,,,,,,,,,,,,,,,,,7.7667012214660645,,,,,,,
