prompt,experiment,target_emotion,layer,feature_id,run,seed,alpha_0,alpha_2,alpha_4,alpha_6,alpha_8,alpha_10
I just heard some bad news and I feel,intensity_ladder,Sadness,25,66,1,2012506521,"very sad. I am from the UK and I am a huge fan of the band and really loved them.

I know it's not a very serious topic, but I just wanted to say","a little bit down.

My friend has been talking about running for a while now and I encouraged her to do it. So when she decided to do it, I felt very proud of her.","like I’m going to burst into tears.

On 10-11 February 2020, 198 people were killed in a fire at the The Koza","like this is a good place to share it.

I made a post about a week or so ago asking if anyone was interested in me drawing their characters. Well, I had quite a few people",so sad. My dog has been sick for months now due to a blood clot in her liver. She was diagnosed with hepatitis and was put on a strict diet and was just starting to get better.,"pretty bad for the people involved. I’m hoping to see a resolution to this story soon.

I’m not sure what to make of this.

I’m not sure if this"
I just heard some bad news and I feel,intensity_ladder,Sadness,25,66,2,3563063273,"like I’m going to cry, but I’d like to believe that I can make a difference. It’s about a girl I went to school with and her boyfriend, and they’",like my whole world is shattering. I have a huge crush on this boy I know for 3 years. He is a really good friend but we also have so much more to show. We are,like I keep getting bad news so I decided to make something to help me feel better and I’ve been listening to “Dear Future Love” by Yuna and it’s making me feel a,like I’m going to throw up. My friend and co worker was just released from the hospital. 2 weeks ago she collapsed at work and was rushed to the hospital. She was in the,"like a lot of people are going to react wrongly. I know that I'm going to mention a lot of things that people are going to disagree with, but I want to share my opinion.","like I’m having a hard time thinking of anything else. I want to be there for my friends, but I’m not sure how to talk about it, the family, or the person"
I just heard some bad news and I feel,intensity_ladder,Sadness,25,66,3,3574686412,"like I have to share it.

This is a message from a friend:

<blockquote>I found out today that my friend Kim, who was diagnosed with stage IV colon cancer in 201","like I'm gonna need to talk to someone about it. Not sure if anyone here has similar issues but I feel like I need to vent.

I have a good reason for needing to vent","like I need to vent.

My brother was arrested by the police in the state of PA. He was charged with possession of marijuana and paraphernalia, and also charged with a probation violation. He is",like I have to vent. I work at a place in a town where I used to live. I quit my job there to move to a different town when I found out I was pregnant. I,"sad.

The news is that my favourite restaurant in the world, Al Forno, closed down. Al Forno was a restaurant in South Street, Greenwich, SE10.

That’",like my life is falling apart. I was supposed to get an offer from my dream company and they sent me a link to tell me I was rejected. I am so angry. I am 2
I just heard some bad news and I feel,intensity_ladder,Sadness,25,66,4,728587678,"very upset. I have just heard that a well known friend of mine has passed away.

I hope that you are feeling better now.

I hope that you are feeling better now.

I","really, really bad knowing that.

For those of you who don't know, the author of the story I love so very much is dead. I feel so bad for her family and I",really bad and ashamed of myself. I have been trying to loose weight and I have tried a lot of things. I am 15 and I am 130 pounds. I am,"like I need a hug. I am so devastated, I don't know what to say, I don't know how to feel.

I am so sorry. That sounds devastating. I",like I’m having a panic attack. I’m fine I’m fine I’m fine I’m fine. I’m not in a panic attack I’m fine.,"like I should be brave and tell myself that it could turn out OK, but I feel like I am in a hole and there is no way out. My best friend of almost 40 years"
I just heard some bad news and I feel,intensity_ladder,Sadness,25,66,5,2342282000,"like I need to vent a little.

On the 4th of July, my father-in-law died. He was 81 years old. He had been sick for a while","like I need to share it with you guys.

The other day I was at the doctor and while I was there I was getting my blood drawn.  After that I was told that I had","like I should share it.

Some of you know that my father-in-law, Jim, was diagnosed with stage 4 lung cancer.  He’s been battling it for a while","like I need to share it with you. As a lot of you may or may not know, I’ve been struggling with depression for a while now. I’ve been in counseling and have",like I’m going to vomit because of it. My friend is getting married in June and she’s a little crazy and can’t decide on a wedding dress. They are going to be,"like crying. My heart is heavy. Two of my closest friends are in a relationship, and they just announced they are getting a divorce. And they have a child together too.

So I feel"
"Things haven't been going well lately, and I",intensity_ladder,Sadness,25,66,1,3225525814,'m in a bad mood. I just want to shut myself off from the world and stay in my room. I've tried working on my art and my writing but I feel like I',"'m not exactly sure how to explain it. For what it's worth, I'm happy right now, so I don't really have anything specific to complain about. <em>Life",just feel like I'm not getting anywhere. I'm a new grad and have been struggling to find a job in my field. I've applied to a lot of jobs and have had,"'m not going to lie. It's been a rocky road of late. I've been a bit down and stressed out, and I've been having a hard time getting anything done","'ve been having trouble writing. Even when I do write, it's not up to the usual quality I'd like to have. I'm not sure what to do, and I","'m not talking about the state of the world. I've been feeling very frustrated, and I've been trying to change my attitude toward the world. But in the meantime, here I"
"Things haven't been going well lately, and I",intensity_ladder,Sadness,25,66,2,1887907755,"'m struggling to maintain my sanity. I'm really starting to think that I need to get away for a while. 

I've been feeling really tired lately, and my sleep schedule","'m not sure what's up. I'm sure I'm just taking this a little too seriously, and the situation isn't as bad as I perceive it to be. However","'m just frustrated. When I'm frustrated I just go to sleep and don't think about anything but my pillow and dreams of getting a boyfriend.

My boyfriend is in jail because he","thought it was time for a little change. Maybe a little change around the house and a few new things in the garden.

Since I've been moving here for over a year now, I","think it's finally time I took a break from my current projects and try something new. This is a new game I'm working on, but I'm not at a point where I",feel as though I have a lot to be thankful for. I am thankful for my family. They are always there for me. I am thankful for my friends. They keep me sane. I am
"Things haven't been going well lately, and I",intensity_ladder,Sadness,25,66,3,179085377,"have been having a lot of fun with the world of Minecraft.

I really wanted to use the Minecraft mod that is available to make my own Minecraft-themed world.

I looked for several mods","'ve kind of lost my touch.
I had an amazing idea for today's post. I wanted to talk about how to get your voice in a band. I know I've written","'m really having a hard time keeping up with the work I'm supposed to be doing. I've been working on this full-time for a year and a half now, and I","'m not sure if things will ever be the same. I feel like I'm losing everything, losing my friends, my family, my job. I feel like I'm losing myself.","think it's time to go back to my roots.  
 
I've been writing a fairly serious novel for the past few years, and now I've read the first draft","'m feeling pretty shitty about it.

I'm going to go ahead and say it: ""I hate my life"".

I'm not one of those people who go around complaining about"
"Things haven't been going well lately, and I",intensity_ladder,Sadness,25,66,4,1249716617,"feel a bit of a pressure to be a better person. I don't know what I should do to fix these problems, but I know that I need to change something. I've tried",'m still searching for the right words to tell my girlfriend that I want to break up. I've been talking to a friend on and off for weeks now who has been giving me advice on,"haven't had time to write about it. You see, I've been trying to write a book about the future of journalism. It's hard to do when there's a pandemic","'ve been struggling with my mental health. It's my blog, so I'm going to name names. But it's also my blog, so I'm going to be careful","'m starting to think about making some changes. I'm hoping to get back to the kind of writing that I used to do, and I'm hoping that will help me get back into","'m not sure I can trust anyone. I'm not really sure what to do. I've been trying to find something to do, but I haven't been able to find anything"
"Things haven't been going well lately, and I",intensity_ladder,Sadness,25,66,5,1708692588,"need to change my life. No, I am not talking about my personal life. I am talking about my writing life.

I was a professional writer for nearly twenty years, but then that job","'ve decided that I need to get back into drawing. I'm going to try and draw two drawings a week, and I'm going to post them on here. I'm going","am losing hope in life. I know that it will get better, but I just can't see it. I have had a lot of bad and good days, but the bad days are what","'m not even sure what to do to fix them.

I'm a 20 year old male who is in a relationship for the past 5 years. I'm not proud","'m pretty sure my family knows it. I'm sure they're worried about me, and I'm not blameless in this situation. Just as my family is worried about me,","'m feeling burnt out. I've been having trouble sleeping, and I'm not really sure why. I'd like to know how to fix this, but I'm afraid that"
