emotion,layer,feature_id,selectivity
Joy,25,13068,19.676002502441406
Joy,23,5285,15.83405590057373
Joy,21,1197,9.903526306152344
Joy,23,12300,8.912630081176758
Sadness,25,66,17.46426010131836
Sadness,23,10969,13.846455574035645
Sadness,22,10572,12.465041160583496
Sadness,24,10374,11.468979835510254
Sadness,19,6134,9.148740768432615
Sadness,21,4801,8.979793548583984
Sadness,20,15539,8.160390853881836
Sadness,18,11186,7.766701221466064
Anger,25,8662,37.70390319824219
Anger,24,11139,21.55032157897949
Anger,23,11903,18.58279228210449
Anger,25,4493,16.602771759033203
Anger,22,14916,11.442474365234377
Anger,22,8535,11.363426208496094
Anger,24,10476,9.842716217041016
Anger,24,10032,9.602807998657228
Fear,25,3410,14.027563095092772
Fear,23,5214,12.673871994018556
Fear,22,5383,12.21272087097168
Fear,24,8813,10.503430366516112
Fear,25,2584,10.17607879638672
Fear,23,2824,8.31324577331543
Fear,22,5270,7.804634571075439
Fear,24,8581,7.671226501464844
Fear,19,3951,7.035431385040283
Fear,21,13849,6.514251232147217
Fear,20,7769,6.076975345611572
Disgust,25,4493,8.955728530883789
Disgust,25,14402,7.643135070800781
Disgust,24,10476,7.213922500610352
Disgust,22,14916,6.945316314697266
